recode,yob,year,smsa,agesq,annwage,ind,occ,marchwt,state,metcode,division,race,age,vet,weeks,marital,class,esr,hrslw,hrsly,higratt,higrcomp,wageflag,esrflag,age2,educ,veteran,black,other,city,balsmsa,spsepres,lott1,lott2,lott3,lott4,lott5,lott6,lott7,lott8,lott9,lott10,lott11,lott12,lott13,college,someco,yr81,yr82,yr83,yr84,yr85,yob44,yob45,yob46,yob47,yob48,yob49,yob50,yob51,yob52,yob53,neweng,midatl,eastnth,westnth,sthatl,eaststh,weststh,mount,pacific
13,48,79,0.0,961.0,8900.0,147.0,473.0,68610.0,23.0,1.0,2.0,1.0,31.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,13.0,2.0,0.0,0.0,31,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,47,79,0.0,1024.0,4000.0,147.0,644.0,67188.0,23.0,1.0,2.0,1.0,32.0,6.0,30.0,7.0,1.0,1.0,32.0,40.0,7.0,2.0,0.0,0.0,32,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,48,79,0.0,900.0,11835.0,158.0,680.0,139138.0,23.0,2.0,2.0,1.0,30.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,5.0,1.0,0.0,0.0,31,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,47,79,1280.0,961.0,12000.0,937.0,222.0,80780.0,21.0,1.0,2.0,1.0,31.0,1.0,46.0,1.0,4.0,1.0,32.0,40.0,15.0,2.0,0.0,0.0,32,13,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,45,79,0.0,1089.0,5000.0,147.0,690.0,57008.0,15.0,1.0,1.0,1.0,33.0,6.0,52.0,7.0,1.0,1.0,40.0,40.0,8.0,1.0,0.0,0.0,34,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,53,79,1600.0,729.0,3000.0,658.0,245.0,102533.0,33.0,1.0,3.0,1.0,27.0,6.0,20.0,1.0,1.0,1.0,54.0,45.0,13.0,1.0,0.0,0.0,26,12,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
13,50,79,1600.0,841.0,14000.0,917.0,192.0,102573.0,33.0,1.0,3.0,1.0,29.0,6.0,52.0,1.0,2.0,1.0,36.0,40.0,17.0,1.0,0.0,0.0,29,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,52,79,1600.0,676.0,11500.0,707.0,312.0,96606.0,33.0,1.0,3.0,1.0,26.0,1.0,52.0,8.0,1.0,1.0,40.0,40.0,15.0,2.0,0.0,0.0,27,13,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2,53,79,0.0,625.0,18000.0,167.0,692.0,73915.0,34.0,1.0,3.0,2.0,25.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,14.0,2.0,0.0,0.0,26,12,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
13,53,79,0.0,625.0,14000.0,187.0,680.0,61099.0,46.0,4.0,4.0,1.0,25.0,6.0,51.0,1.0,1.0,1.0,48.0,48.0,13.0,1.0,1.0,0.0,26,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
9,45,79,0.0,1089.0,18000.0,68.0,424.0,73337.0,34.0,3.0,3.0,1.0,33.0,1.0,52.0,1.0,1.0,1.0,38.0,45.0,13.0,1.0,2.0,0.0,34,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,44,79,5000.0,1156.0,0.0,619.0,264.0,89932.0,59.0,2.0,5.0,1.0,34.0,5.0,52.0,1.0,6.0,1.0,60.0,60.0,13.0,1.0,0.0,0.0,35,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,47,79,5000.0,961.0,11000.0,889.0,1.0,86795.0,59.0,2.0,5.0,1.0,31.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,17.0,1.0,1.0,0.0,32,16,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,48,79,1920.0,900.0,12000.0,838.0,65.0,102998.0,74.0,1.0,7.0,1.0,30.0,6.0,52.0,1.0,2.0,1.0,98.0,98.0,19.0,1.0,0.0,0.0,31,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,50,79,0.0,841.0,0.0,0.0,0.0,100035.0,74.0,1.0,7.0,1.0,29.0,6.0,0.0,8.0,0.0,7.0,0.0,0.0,15.0,1.0,2.0,0.0,29,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,51,79,0.0,729.0,6600.0,718.0,152.0,98216.0,74.0,1.0,7.0,1.0,27.0,1.0,52.0,1.0,1.0,1.0,40.0,40.0,17.0,2.0,0.0,0.0,28,15,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14,45,79,0.0,1089.0,12500.0,917.0,1.0,102409.0,74.0,1.0,7.0,1.0,33.0,1.0,52.0,1.0,2.0,1.0,40.0,40.0,16.0,2.0,0.0,0.0,34,14,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
