training	age	education	black	hispanic	married	no_degree	re74	re75	re78
0.0	46.0	6.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	45.0	7.0	1.0	0.0	1.0	1.0	0.0	0.0	11821.813
0.0	45.0	9.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	49.0	14.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	53.0	6.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	47.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	47.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
0.0	52.0	8.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	40.0	10.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
0.0	55.0	14.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	54.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	221.65899
0.0	50.0	12.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	52.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	25.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0	3694.3164
0.0	46.0	9.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
0.0	48.0	9.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	44.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	26.0	17.0	0.0	0.0	1.0	0.0	0.0	0.0	11821.813
0.0	51.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
0.0	34.0	16.0	0.0	0.0	1.0	0.0	0.0	0.0	11821.813
0.0	41.0	6.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	55.0	8.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	46.0	9.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
0.0	55.0	8.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	34.0	14.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	28.0	12.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	54.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	53.0	7.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
0.0	54.0	10.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	55.0	12.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
0.0	53.0	8.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	47.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	55.0	13.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
0.0	41.0	8.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	45.0	9.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	54.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	54.0	9.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	54.0	10.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	53.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
0.0	25.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	54.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	54.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	44.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	51.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	45.0	8.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
0.0	41.0	11.0	0.0	0.0	1.0	1.0	0.0	0.0	14481.72
