Score	HelpfulnessRatio	ReviewLength	UserReviewCount	ProductReviewCount	Positive
5	0.5	657	1	55	1
4	0.3333333333333333	351	4	109	1
1	0.6190476190476191	657	16	18	0
5	0.0	676	8	209	1
5	0.0	155	1	11	1
3	0.6666666666666666	400	4	1	0
5	0.6666666666666666	890	1	18	1
4	0.0	118	1	15	1
5	0.75	523	3	11	1
5	0.3333333333333333	901	17	108	1
5	0.5	455	52	77	1
1	0.0	314	1	7	0
5	0.5	94	12	170	1
5	0.5	442	10	50	1
5	0.0	115	1	5	1
5	0.0	334	1	8	1
5	0.0	271	7	103	1
5	0.0	220	1	29	1
4	0.0	292	1	43	1
5	0.0	327	5	274	1
5	0.0	152	6	74	1
2	0.0	426	68	37	0
4	0.0	164	6	67	1
3	0.0	1210	32	3	0
5	0.6666666666666666	118	1	37	1
5	0.0	207	3	17	1
5	0.0	590	150	1	1
1	0.5	891	71	168	0
5	0.0	219	1	223	1
5	0.8333333333333334	350	1	22	1
5	0.0	897	365	69	1
5	0.0	1140	9	310	1
5	0.5	1191	11	106	1
5	0.8333333333333334	607	4	15	1
5	0.0	197	8	385	1
3	0.6363636363636364	184	6	50	0
5	0.0	143	7	238	1
5	0.0	224	1	6	1
5	0.9411764705882353	1112	107	178	1
5	0.0	112	9	35	1
5	0.0	277	37	1	1
5	0.0	126	3	1	1
2	0.0	326	1	1	0
5	0.0	298	22	93	1
5	0.5	126	1	3	1
1	0.3333333333333333	137	2	21	0
5	0.0	164	2	8	1
5	0.5	1013	1	4	1
1	0.0	317	1	1	0
4	0.3333333333333333	631	1	2	1
1	0.8333333333333334	373	3	39	0
5	0.6666666666666666	1563	8	131	1
3	0.0	163	5	632	0
4	0.9090909090909091	880	4	33	1
5	0.0	100	4	103	1
5	0.0	82	6	9	1
5	0.0	160	1	1	1
5	0.5	139	2	10	1
3	0.25	3300	14	39	0
5	0.0	118	15	15	1
5	0.0	252	5	176	1
4	0.0	248	19	82	1
4	0.0	217	1	5	1
5	0.3333333333333333	632	8	40	1
5	0.6	92	1	9	1
5	0.0	1145	5	96	1
5	0.0	355	4	37	1
5	0.5	343	5	18	1
5	0.0	356	2	49	1
3	0.0	415	1	23	0
3	0.0	161	23	158	0
3	0.5	357	11	455	0
5	0.0	209	9	59	1
5	0.0	343	6	21	1
1	0.25	750	51	491	0
3	0.0	101	10	4	0
5	0.0	113	1	1	1
5	0.0	194	1	74	1
3	0.0	819	21	206	0
5	0.0	221	2	26	1
5	0.0	109	1	34	1
5	0.5	152	5	11	1
5	0.0	1292	5	15	1
5	0.0	311	8	13	1
5	0.9	237	14	385	1
4	0.0	96	12	112	1
5	0.5	194	1	1	1
4	0.0	411	70	1	1
1	0.5	277	2	19	0
5	0.0	380	4	46	1
5	0.0	119	4	159	1
5	0.0	287	1	13	1
2	0.8181818181818182	840	46	57	0
5	0.5	292	1	1	1
5	0.0	213	1	1	1
5	0.0	254	1	4	1
5	0.0	310	1	30	1
5	0.0	263	48	12	1
5	0.8	190	1	8	1
5	0.0	589	7	8	1
5	0.8	261	1	26	1
5	0.0	108	4	2	1
5	0.5	214	1	8	1
5	0.8695652173913043	210	8	172	1
5	0.6	778	4	14	1
3	0.0	584	2	4	0
5	0.0	169	23	158	1
5	0.9090909090909091	851	1	14	1
5	0.0	531	12	103	1
5	0.0	290	14	60	1
5	0.0	116	5	4	1
4	0.8571428571428571	357	12	9	1
5	0.5	359	1	13	1
5	0.0	256	3	9	1
5	0.0	144	1	170	1
1	0.5555555555555556	369	1	23	0
